Abdomen	D000005
Wrist	D014953
Wrist Joint	D014955
X Chromosome	D014960
Xiphoid Bone	D014989
Y Chromosome	D014998
Yolk Sac	D015017
Zona Pellucida	D015044
Zygoma	D015050
Zygote	D015053
Zona Fasciculata	D015383
Zona Glomerulosa	D015384
Zona Reticularis	D015385
Organelles	D015388
CD4-Positive T-Lymphocytes	D015496
Nuclear Matrix	D015530
Follicular Fluid	D015571
Keratinocytes	D015603
Epithelioid Cells	D015622
Extravascular Lung Water	D015633
Erythroid Precursor Cells	D015672
Giant Cells	D015726
Giant Cells, Foreign-Body	D015743
Giant Cells, Langhans	D015744
Blood-Air Barrier	D015824
Chromosomes, Fungal	D015825
Killer Cells, Lymphokine-Activated	D015979
Anterior Cruciate Ligament	D016118
Posterior Cruciate Ligament	D016119
Brachiocephalic Veins	D016121
Brachiocephalic Trunk	D016122
Lymphocyte Subsets	D016131
B-Lymphocyte Subsets	D016175
T-Lymphocyte Subsets	D016176
Lymphocytes, Tumor-Infiltrating	D016246
Monocytes, Activated Killer	D016260
CHO Cells	D016466
3T3 Cells	D016475
Urinary Reservoirs, Continent	D016476
Neurites	D016501
Reed-Sternberg Cells	D016539
Prosencephalon	D016548
Bruch Membrane	D016570
Telomere	D016615
Lewy Bodies	D016631
Psoas Muscles	D016658
Bacterial Capsules	D016667
Macrophages, Alveolar	D016676
PC12 Cells	D016716
Limbus Corneae	D016850
Neurofibrillary Tangles	D016874
Tibial Arteries	D016909
Rotator Cuff	D017006
Neostriatum	D017072
Stromal Cells	D017154
Cell Wall Skeleton	D017358
Spliceosomes	D017381
Prefrontal Cortex	D017397
Cicatrix, Hypertrophic	D017439
Radial Artery	D017534
Ulnar Artery	D017535
Carotid Artery, Common	D017536
Mesenteric Artery, Inferior	D017537
Mesenteric Artery, Superior	D017538
Tunica Intima	D017539
Tunica Media	D017540
Solitary Nucleus	D017552
Ventral Tegmental Area	D017557
Rectus Abdominis	D017568
Enteric Nervous System	D017615
Cochlear Nucleus	D017626
Microglia	D017628
Gap Junctions	D017629
Adipocytes	D017667
Presynaptic Terminals	D017729
Bile Ducts, Extrahepatic	D017734
Macrophages, Peritoneal	D017737
Joint Capsule	D017746
Pelvic Floor	D017773
Autonomic Pathways	D017776
Parasympathetic Fibers, Postganglionic	D017777
Sympathetic Fibers, Postganglionic	D017779
Superior Cervical Ganglion	D017783
Visceral Afferents	D017833
Ligamentum Flavum	D017843
Lateral Ligament, Ankle	D017844
Longitudinal Ligaments	D017846
Patellar Ligament	D017847
Collateral Ligaments	D017885
Medial Collateral Ligament, Knee	D017888
Peripheral Nervous System	D017933
Retinal Rod Photoreceptor Cells	D017948
Retinal Cone Photoreceptor Cells	D017949
Ganglia, Sensory	D017950
Ganglia, Invertebrate	D017952
Photoreceptor Cells, Invertebrate	D017956
Pyramidal Cells	D017966
Olfactory Receptor Neurons	D018034
Hair Cells, Vestibular	D018069
Hair Cells, Auditory, Outer	D018072
Plastids	D018087
Chromosomes, Artificial, Yeast	D018244
LLC-PK1 Cells	D018374
Centrosome	D018385
Kinetochores	D018386
Isochromosomes	D018404
CD8-Positive T-Lymphocytes	D018414
Th1 Cells	D018417
Th2 Cells	D018418
Muscle, Skeletal	D018482
Diaphyses	D018483
Muscle Fibers, Skeletal	D018485
Plant Structures	D018514
Plant Leaves	D018515
Pulvinus	D018516
Plant Roots	D018517
Plant Root Cap	D018518
Meristem	D018519
Plant Shoots	D018520
Gastric Stump	D018530
Hypocotyl	D018546
Plant Stems	D018547
Cotyledon	D018548
Muscle Fibers, Fast-Twitch	D018656
Muscle Fibers, Slow-Twitch	D018657
Coated Vesicles	D018699
Purple Membrane	D018717
Entorhinal Cortex	D018728
Germinal Center	D018858
Hair Follicle	D018859
Merkel Cells	D018862
Endoplasmic Reticulum, Rough	D018870
Endoplasmic Reticulum, Smooth	D018871
Spheroids, Cellular	D018874
Limb Buds	D018878
Dentate Gyrus	D018891
Cells, Immobilized	D018914
Blood-Aqueous Barrier	D018916
HL-60 Cells	D018922
Pili, Sex	D018933
Caco-2 Cells	D018938
Salivary Ducts	D018987
HT29 Cells	D019073
Epigastric Arteries	D019074
Tight Junctions	D019108
Vomeronasal Organ	D019147
Jurkat Cells	D019169
Somites	D019170
Temporomandibular Joint Disc	D019224
Tooth Apex	D019227
Tooth Crown	D019228
Dentition, Permanent	D019229
Dentinal Fluid	D019234
Tooth Cervix	D019237
Nucleocapsid	D019251
Epithalamus	D019261
Habenula	D019262
Glycocalyx	D019276
Skull Base	D019291
Chromaffin Cells	D019439
Plant Epidermis	D019441
Urothelium	D019459
COS Cells	D019556
Epithelium, Corneal	D019573
Neocortex	D019579
Perforant Pathway	D019580
Neuropil	D019581
Tooth Components	D019589
Mossy Fibers, Hippocampal	D019599
Neuropil Threads	D019600
Transplants	D019737
Surgically-Created Structures	D019738
Skeletal Muscle Ventricle	D019739
Ciliary Arteries	D019842
Chromosomes, Archaeal	D019847
Enteroendocrine Cells	D019858
Enterochromaffin-like Cells	D019861
Gastrin-Secreting Cells	D019863
Somatostatin-Secreting Cells	D019864
Chief Cells, Gastric	D019872
Paneth Cells	D019879
Periplasm	D019897
Chondrocytes	D019902
K562 Cells	D020014
Bacterial Chromatophores	D020130
Pericytes	D020286
U937 Cells	D020298
Weibel-Palade Bodies	D020302
Tooth Socket	D020390
Entopeduncular Nucleus	D020392
Vault Ribonucleoprotein Particles	D020394
Goblet Cells	D020397
Dermis	D020405
Photoreceptor Cells, Vertebrate	D020419
Cyst Fluid	D020420
Growth Cones	D020439
Melanosomes	D020460
Atrial Appendage	D020517
Thylakoids	D020524
Subthalamus	D020530
Subthalamic Nucleus	D020531
Basal Nucleus of Meynert	D020532
Parahippocampal Gyrus	D020534
Metencephalon	D020540
Coiled Bodies	D020541
Third Ventricle	D020542
Respiratory Mucosa	D020545
Fourth Ventricle	D020546
Lateral Ventricles	D020547
Dendritic Cells, Follicular	D020566
Anterior Thalamic Nuclei	D020643
Midline Thalamic Nuclei	D020644
Mediodorsal Thalamic Nucleus	D020645
Intralaminar Thalamic Nuclei	D020646
Lateral Thalamic Nuclei	D020647
Pulvinar	D020649
Ventral Thalamic Nuclei	D020651
Posterior Thalamic Nuclei	D020656
Septum of Brain	D020665
Diagonal Band of Broca	D020667
Islands of Calleja	D020670
Posterior Horn Cells	D020671
Peroxisomes	D020675
Glyoxysomes	D020676
Fornix, Brain	D020712
Middle Cerebral Artery	D020768
Posterior Cerebral Artery	D020769
Anterior Cerebral Artery	D020771
Internal Capsule	D020772
Spinocerebellar Tracts	D020824
Microfibrils	D020894
Enterocytes	D020895
Organizers, Embryonic	D020897
Scaphoid Bone	D021361
Palate, Hard	D021362
trans-Golgi Network	D021601
Zygapophyseal Joint	D021801
Caveolae	D021941
Cell Membrane Structures	D021961
Membrane Microdomains	D021962
Cell-Matrix Junctions	D021982
Focal Adhesions	D022001
Hemidesmosomes	D022002
Cell Nucleus Structures	D022003
Chromosome Structures	D022004
Adherens Junctions	D022005
Nuclear Pore	D022022
Euchromatin	D022041
Cell Surface Extensions	D022081
Cellular Structures	D022082
Cytoplasmic Structures	D022083
Microtubule-Organizing Center	D022101
Secretory Vesicles	D022142
Transport Vesicles	D022161
Cytoplasmic Vesicles	D022162
Clathrin-Coated Vesicles	D022163
COP-Coated Vesicles	D022181
Chromosomes, Artificial	D022201
Chromosomes, Artificial, Bacterial	D022202
Chromosomes, Artificial, Mammalian	D022221
Chromosomes, Artificial, Human	D022222
Myeloid Cells	D022423
Stress Fibers	D022502
Hepatocytes	D022781
Myeloid Progenitor Cells	D023461
Plant Bark	D024301
Gastroepiploic Artery	D024405
Mushroom Bodies	D024521
Oxyphil Cells	D024862
Amacrine Cells	D025042
Mycelium	D025282
Hyphae	D025301
Nitrergic Neurons	D026602
Chromosomes, Artificial, P1 Bacteriophage	D027042
Satellite Cells, Perineuronal	D027161
Rhizome	D027343
Plasmodesmata	D031425
Area Postrema	D031608
Muscle Cells	D032342
Myocytes, Cardiac	D032383
Myoblasts, Cardiac	D032386
Myocytes, Smooth Muscle	D032389
Myoblasts, Smooth Muscle	D032390
Myoblasts	D032446
Myoblasts, Skeletal	D032448
Chromosomes, Plant	D032461
Satellite Cells, Skeletal Muscle	D032496
Sperm Midpiece	D032961
Foot Joints	D033023
Deciduoma	D033301
Chromosomes, Mammalian	D033481
Oocysts	D033661
Spores, Protozoan	D033761
Sporozoites	D034101
Integumentary System	D034582
Abdominal Cavity	D034841
Abdominal Wall	D034861
Nuclear Lamina	D034881
Upper Extremity	D034941
Lower Extremity	D035002
Plant Components, Aerial	D035261
Cranial Fossa, Anterior	D035262
Flowering Tops	D035263
Flowers	D035264
Plant Tubers	D035281
Cranial Fossa, Middle	D035301
Parotid Region	D035421
Pleural Cavity	D035422
Thoracic Cavity	D035423
Thoracic Wall	D035441
Seedling	D036226
Nerve Fibers, Unmyelinated	D036421
Blastula	D036703
Aborted Fetus	D037881
Mycorrhizae	D038821
Colonic Pouches	D039021
Totipotent Stem Cells	D039901
Multipotent Stem Cells	D039902
Pluripotent Stem Cells	D039904
Subcutaneous Tissue	D040521
Chromosomes, Human, X	D041321
Chromosomes, Human, Y	D041322
NIH 3T3 Cells	D041681
Swiss 3T3 Cells	D041701
BALB 3T3 Cells	D041702
3T3-L1 Cells	D041721
Lower Gastrointestinal Tract	D041741
Upper Gastrointestinal Tract	D041742
Erythroid Cells	D041905
Gastrointestinal Tract	D041981
Mammary Glands, Human	D042361
Granulocyte Precursor Cells	D042381
Intracellular Space	D042541
Intranuclear Space	D042581
Lymphatic Vessels	D042601
Endothelial Cells	D042783
Hepatopancreas	D043143
Glomus Tympanicum	D043485
Cellulosomes	D044603
Dental Pellicle	D044622
Colon, Ascending	D044682
Colon, Descending	D044683
Colon, Transverse	D044684
Serum	D044967
Pedunculopontine Tegmental Nucleus	D045042
HCT116 Cells	D045325
Phycobilisomes	D045524
Intranuclear Inclusion Bodies	D045586
Extracellular Fluid	D045604
Cell Line, Tumor	D045744
Neuroepithelial Bodies	D046568
Neuroepithelial Cells	D046569
Pancreas, Exocrine	D046790
Micronuclei, Chromosome-Defective	D048629
Micronucleus, Germline	D048631
Macronucleus	D048648
Fruiting Bodies, Fungal	D048690
Chorioallantoic Membrane	D049033
Dendritic Spines	D049229
Blood-Nerve Barrier	D049428
Esophageal Sphincter, Lower	D049630
Esophageal Sphincter, Upper	D049631
Subcutaneous Fat	D050151
Intra-Abdominal Fat	D050152
Abdominal Fat	D050153
Podocytes	D050199
Hand Bones	D050276
Toe Phalanges	D050277
Finger Phalanges	D050278
Metacarpal Bones	D050279
Arm Bones	D050280
Bones of Lower Extremity	D050281
T-Lymphocytes, Regulatory	D050378
Glucagon-Secreting Cells	D050416
Insulin-Secreting Cells	D050417
Pancreatic Polypeptide-Secreting Cells	D050418
Bowman Capsule	D050476
Subcutaneous Fat, Abdominal	D050507
Mesangial Cells	D050527
Glomerular Basement Membrane	D050533
Bowman Membrane	D050541
Hand Joints	D050823
Carpal Joints	D050824
Pisiform Bone	D051220
Triquetrum Bone	D051221
Trapezium Bone	D051222
Trapezoid Bone	D051223
Capitate Bone	D051224
Hamate Bone	D051225
Retinal Bipolar Cells	D051245
Retinal Horizontal Cells	D051248
Mitochondrial Membranes	D051336
Fibrocartilage	D051445
Hyaline Cartilage	D051457
Elastic Cartilage	D051472
Triangular Fibrocartilage	D051478
Quadriceps Muscle	D052097
Adipose Tissue, White	D052436
Adipocytes, Brown	D052437
Adipocytes, White	D052438
Xylem	D052584
Phloem	D052585
Corticotrophs	D052680
Gonadotrophs	D052681
Lactotrophs	D052682
Somatotrophs	D052683
Thyrotrophs	D052684
Pituitary Gland, Intermediate	D052716
Melanotrophs	D052717
Carpometacarpal Joints	D052737
Foreskin	D052816
Schizonts	D052939
Merozoites	D052940
Trophozoites	D053058
Root Nodules, Plant	D053204
Pollen Tube	D053205
High Vocal Center	D053400
Volar Plate	D053401
Lateral Line System	D053403
Embryonic Stem Cells	D053595
Blastocyst Inner Cell Mass	D053624
Platelet-Rich Plasma	D053657
Fetal Stem Cells	D053686
Adult Stem Cells	D053687
Cerebrum	D054022
Myelencephalon	D054024
Plant Stomata	D054046
Surgical Stomas	D054047
Peritoneal Stomata	D054048
Superior Sagittal Sinus	D054063
Transverse Sinuses	D054064
Foramen Ovale	D054085
Atrial Septum	D054087
Ventricular Septum	D054088
Endocardial Cushions	D054089
Blastodisc	D054239
Primitive Streak	D054240
Neural Plate	D054258
Neural Tube	D054259
Embryonal Carcinoma Stem Cells	D054278
Coronary Sinus	D054326
Electrical Synapses	D054351
Precursor Cells, B-Lymphoid	D054448
Axoneme	D054468
Lymphoid Progenitor Cells	D054503
Precursor Cells, T-Lymphoid	D054504
Ear Auricle	D054644
Ribosome Subunits	D054657
Ribosome Subunits, Large	D054658
Ribosome Subunits, Small	D054679
Ribosome Subunits, Small, Bacterial	D054680
Ribosome Subunits, Large, Bacterial	D054681
Ribosome Subunits, Small, Eukaryotic	D054682
Ribosome Subunits, Large, Eukaryotic	D054683
Scala Vestibuli	D054738
Ribosome Subunits, Large, Archaeal	D054748
Ribosome Subunits, Small, Archaeal	D054749
Semicircular Ducts	D054776
Hair Cells, Ampulla	D054777
Muscle, Striated	D054792
von Ebner Glands	D054838
Cumulus Cells	D054885
Compound Eye, Arthropod	D054910
Costameres	D054974
Immunological Synapses	D054992
Granulocyte-Macrophage Progenitor Cells	D055014
Megakaryocyte-Erythroid Progenitor Cells	D055015
Megakaryocyte Progenitor Cells	D055016
Monocyte-Macrophage Precursor Cells	D055017
Hemangioblasts	D055018
Endocrine Cells	D055098
Neuroendocrine Cells	D055099
Velopharyngeal Sphincter	D055158
Hepatic Stellate Cells	D055166
Nasal Cartilages	D055171
Vomer	D055172
Retinal Photoreceptor Cell Inner Segment	D055211
Photoreceptor Connecting Cilium	D055212
Retinal Pigment Epithelium	D055213
Retinal Photoreceptor Cell Outer Segment	D055214
Cell-Derived Microparticles	D055252
Retinal Neurons	D055351
Exosomes	D055354
Venous Valves	D055422
Spiral Ligament of Cochlea	D055493
Gemini of Coiled Bodies	D055531
Natural Killer T-Cells	D055611
Cytokine-Induced Killer Cells	D055612
Bronchioles	D055745
Cranial Fontanelles	D055762
Microvessels	D055806
Magnetosomes	D055944
Nipple Aspirate Fluid	D055966
Uterine Artery	D055988
Germ Cells, Plant	D055993
Pyriform Sinus	D056144
Viral Structures	D056224
Bacterial Structures	D056226
Fungal Structures	D056229
CA1 Region, Hippocampal	D056547
Endosperm	D056625
Inflorescence	D056626
CA2 Region, Hippocampal	D056651
CA3 Region, Hippocampal	D056654
Pterygopalatine Fossa	D056739
Olecranon Process	D056740
Ovule	D056771
Pneumocytes	D056809
Interstitial Cells of Cajal	D056885
Hep G2 Cells	D056945
Induced Pluripotent Stem Cells	D057026
Cervical Rib	D057070
Patellofemoral Joint	D057071
Multivesicular Bodies	D057146
Arthropod Antennae	D057506
Deltoid Muscle	D057645
HEK293 Cells	D057809
Posterior Capsule of the Lens	D057852
Anterior Capsule of the Lens	D057866
Lesser Pelvis	D057892
Post-Synaptic Density	D057907
Posterior Eye Segment	D057972
Humeral Head	D058430
Sporangia	D058432
Axial Length, Eye	D058452
Subretinal Fluid	D058471
Tenon Capsule	D058475
Animal Fins	D058500
Mesophyll Cells	D058503
Th17 Cells	D058504
Cambium	D058506
Plant Vascular Bundle	D058526
Sensilla	D058618
Blood Buffy Coat	D058621
Myofibroblasts	D058628
Embryoid Bodies	D058732
Gestational Sac	D058746
Free Tissue Flaps	D058752
Nematocyst	D058894
Neural Stem Cells	D058953
Pancreatic Stellate Cells	D058954
Organs at Risk	D058958
Side-Population Cells	D058985
Chromosomes, Insect	D059006
Polytene Chromosomes	D059007
Chromosomal Puffs	D059045
Mirror Neurons	D059167
Dopaminergic Neurons	D059290
Serotonergic Neurons	D059326
Cholinergic Neurons	D059329
GABAergic Neurons	D059330
Adrenergic Neurons	D059331
Stereocilia	D059547
Mallory Bodies	D059609
Mesenchymal Stromal Cells	D059630
Wharton Jelly	D059631
Polar Bodies	D059705
Plant Cells	D059828
Anatomic Landmarks	D059925
Nasolabial Fold	D060052
Transplant Donor Site	D060053
Animal Shells	D060105
B-Lymphocytes, Regulatory	D060151
Thymocytes	D060168
Head Kidney	D060226
Imaginal Discs	D060227
Pudendal Nerve	D060525
Corneal Keratocytes	D060527
Torso	D060726
Glomerular Filtration Barrier	D060730
Pronephros	D060910
Trigger Points	D061028
Glenoid Cavity	D061165
Feeder Cells	D061252
Human Umbilical Vein Endothelial Cells	D061307
Acinar Cells	D061354
Perforator Flap	D061525
Madin Darby Canine Kidney Cells	D061985
MCF-7 Cells	D061986
Sf9 Cells	D061987
Acellular Dermis	D062088
Fungal Capsules	D062607
Adventitia	D063194
Central Pattern Generators	D063226
Apicoplasts	D063546
Dander	D063607
Ependymoglial Cells	D063928
Spindle Poles	D064047
Spindle Pole Bodies	D064048
Back Muscles	D064131
Intermediate Back Muscles	D064169
Paraspinal Muscles	D064170
Superficial Back Muscles	D064171
Trichomes	D064201
Filamins	D064448
Allografts	D064591
Autografts	D064592
Heterografts	D064593
Bone-Patellar Tendon-Bone Grafts	D064594
Composite Tissue Allografts	D064595
Isografts	D064596
Basal Bodies	D064652
Myocutaneous Flap	D064827
Extracellular Traps	D065206
Atypical Squamous Cells of the Cervix	D065309
Broca Area	D065711
Limbic Lobe	D065726
Wernicke Area	D065813
Cerebellar Vermis	D065814
Zona Incerta	D065820
Pontine Tegmentum	D065821
Parabrachial Nucleus	D065823
Abducens Nucleus	D065827
Facial Nucleus	D065828
Superior Olivary Complex	D065832
Trapezoid Body	D065833
Barrington's Nucleus	D065835
Kolliker-Fuse Nucleus	D065836
Middle Cerebellar Peduncle	D065837
Oculomotor Nuclear Complex	D065838
Edinger-Westphal Nucleus	D065839
Pars Reticulata	D065841
Pars Compacta	D065842
Cerebral Crus	D065843
Tectospinal Fibers	D065844
Nucleus Raphe Magnus	D065846
Dorsal Raphe Nucleus	D065847
Nucleus Raphe Pallidus	D065848
Nucleus Raphe Obscurus	D065849
Cerebral Peduncle	D065850
Optic Tract	D065866
Endothelial Progenitor Cells	D066026
White Matter	D066127
Gray Matter	D066128
Cell Body	D066146
Spinal Cord Dorsal Horn	D066148
Spinal Cord Ventral Horn	D066151
Spinal Cord Lateral Horn	D066152
Costal Cartilage	D066186
Basal Forebrain	D066187
Sensorimotor Cortex	D066191
Cervical Cord	D066193
Olfactory Cortex	D066194
Piriform Cortex	D066195
Olfactory Tubercle	D066208
Anterior Cerebellar Commissure	D066240
Posterior Cerebellar Commissure	D066243
Telencephalic Commissures	D066245
Pretectal Region	D066250
Midbrain Reticular Formation	D066265
Trigeminal Motor Nucleus	D066266
Midbrain Raphe Nuclei	D066267
Interpeduncular Nucleus	D066268
External Capsule	D066271
Basolateral Nuclear Complex	D066272
Central Amygdaloid Nucleus	D066274
Corticomedial Nuclear Complex	D066276
Periamygdaloid Cortex	D066277
Organum Vasculosum	D066278
Circumventricular Organs	D066280
Lipid Droplets	D066292
Renshaw Cells	D066293
Commissural Interneurons	D066294
Ventral Striatum	D066328
